District,Area,Post Code,Charge(1kg),Charge(2kg),Charge(3kg),,
Dhaka,Joar Shahara (Kuril),1229,69,84,99,,
Dhaka,Science Lab(Dhaka),1205,69,84,99,,
Dhaka,Sobhanbag(Dhanmondi),1215,69,84,99,,
Dhaka,ECB Chattar(Mirpur),1216,69,84,99,,
Dhaka,Arambag (Motijheel),1223,69,84,99,,
Dhaka,Armanitola (Puran Dhaka),1100,69,84,99,,
Dhaka,Islambag (Puran Dhaka),1100,69,84,99,,
Dhaka,Kamarpara(Uttara),1230,69,84,99,,
Dhaka,Mitford (Puran Dhaka),1100,69,84,99,,
Dhaka,Shakhari Bazar (Puran Dhaka),1100,69,84,99,,
Dhaka,Katherpol (Puran Dhaka),1100,69,84,99,,
Dhaka,Bangla Bazar  (Puran Dhaka),1100,69,84,99,,
Dhaka,Patuatuly (Puran Dhaka),1100,69,84,99,,
Dhaka,Nandipara(Dhaka),1214,69,84,99,,
Dhaka,Nazira Bazar (Puran Dhaka),1100,69,84,99,,
Dhaka,Gopibag Motijheel(Dhaka),1203,69,84,99,,
Dhaka,Shwamibag(Dhaka),1203,69,84,99,,
Dhaka,Sayedabad(Dhaka),1203,69,84,99,,
Dhaka,Sadarghat Dhaka,1100,69,84,99,,
Dhaka,Kaltabazar (Puran Dhaka),1100,69,84,99,,
Dhaka,Jurain(Dhaka),1204,69,84,99,,
Dhaka,Gendaria (Puran Dhaka),1100,69,84,99,,
Dhaka,RayerBag(Dhaka),1204,69,84,99,,
Dhaka,Faridabad (Jatrabari),1204,69,84,99,,
Dhaka,Matuail (Jatrabari),1361,69,84,99,,
Dhaka,Doniya (Dhaka),1236,69,84,99,,
Dhaka,Postogola (Jurain-Dhaka),1204,69,84,99,,
Dhaka,Konapara (Demra),1361,69,84,99,,
Dhaka,Dhaka Uddyan(Mohammadpur),1207,69,84,99,,
Dhaka,Shekhertek(Mohammadpur),1207,69,84,99,,
Dhaka,CWH,5999,69,84,99,,
Dhaka,Taltola-Agargaon(Dhaka),1216,69,84,99,,
Dhaka,Manda(Dhaka),1214,69,84,99,,
Dhaka,Zoo Road(Dhaka),1343,69,84,99,,
Dhaka,Shahjahanpur(Dhaka),1214,69,84,99,,
Dhaka,Haterrjheel(Dhaka),,69,84,99,,
Dhaka,Dhaka uddan(Mohammadpur),,69,84,99,,
Dhaka,Nobodoy(Mohammadpur),,69,84,99,,
Dhaka,Chad Uddan(Mohammadpur),,69,84,99,,
Dhaka,Mohammadia Housing(Mohammadpur),,69,84,99,,
Dhaka,Ring Road(Shymoli),,69,84,99,,
Dhaka,Tajmahal Road(Mohammadpur),,69,84,99,,
Dhaka,Nurjahan Road(Mohammadpur),,69,84,99,,
Dhaka,Rajia Sultana Road(Mohammadpur),,69,84,99,,
Dhaka,Sector 4 (Uttara),,69,84,99,,
Dhaka,Adam Ali Market(Mazar Road-Mirpur),,69,84,99,,
Dhaka,Chalabon(Dakshinkhan),,69,84,99,,
Dhaka,Mollapara(Dakhinkhan ),,69,84,99,,
Dhaka,East Azampur (Uttara),,69,84,99,,
Dhaka,Sector 5 (Uttara),,69,84,99,,
Dhaka,Sector 14 (Uttara),,69,84,99,,
Dhaka,Sector 3 (Uttara),,69,84,99,,
Dhaka,Sector 7 (Uttara),,69,84,99,,
Dhaka,Sector 9 (Uttara),,69,84,99,,
Dhaka,Sector 11(Uttara),,69,84,99,,
Dhaka,Nalbhog(Uttara),,69,84,99,,
Dhaka,Middle Azampur (Uttara),,69,84,99,,
Dhaka,Turag Model School (Uttara),,69,84,99,,
Dhaka,Dhour (Uttara ),,69,84,99,,
Dhaka,Bhatuliya(Uttara),,69,84,99,,
Dhaka,Bamnartek(Uttara),,69,84,99,,
Dhaka,Turag Thana(Uttara),,69,84,99,,
Dhaka,Khalek Filling Station Road(Kallyanpur),,69,84,99,,
Dhaka,Lalkuthi (Mazar road-Mirpur),,69,84,99,,
Dhaka,Mirpur-1-block-A(Dhaka),,69,84,99,,
Dhaka,Tolarbag(Mirpur),,69,84,99,,
Dhaka,Ahmed Nagar-Paikpara(Mirpur-1),,69,84,99,,
Dhaka,Paikpara (Mirpur-1),,69,84,99,,
Dhaka,Pirerbag-60-feet(Mirpur),,69,84,99,,
Dhaka,Mirpur-1-block-B (Dhaka),,69,84,99,,
Dhaka,Dewanpara -vasantek(Mirpur),,69,84,99,,
Dhaka,Begunbari(Tejgaon),,69,84,99,,
Dhaka,Ajiz Market-ECB Chattar(Mirpur),,69,84,99,,
Dhaka,Aga Nagar(Keraniganj),,69,84,99,,
Dhaka,Kunipara (Tejgoan),,69,84,99,,
Dhaka,Babli Masjid (Tejgoan),,69,84,99,,
Dhaka,Kaderabad Housing(Mohammadpur),,69,84,99,,
Dhaka,Kunia-Tar gach(Tongi),,69,84,99,,
Dhaka,Gacha Bazar ( Boro Bari),,69,84,99,,
Dhaka,Boro Bari (Tongi),,69,84,99,,
Dhaka,Board Bazar (Tongi),,69,84,99,,
Dhaka,Kamarjuri (Gazipur),,69,84,99,,
Dhaka,Saifuddin Sarkar Academy Road (Tongi collage Gate),,69,84,99,,
Dhaka,Ershadnagar-Hossain Market(Tongi),,69,84,99,,
Dhaka,Sataish-Gazipura(Tongi),,69,84,99,,
Dhaka,Apollo Hospital (Bashundhara R/A),,69,84,99,,
Dhaka,Nurerchala(Natun Bazar),,69,84,99,,
Dhaka,Bawaila Para(Khilkhet),,69,84,99,,
Dhaka,Satarkul (Uttor Badda),,69,84,99,,
Dhaka,100 Feet Road (Natun Bazar),,69,84,99,,
Dhaka,Buddho Mondir(Dhaka),,69,84,99,,
Dhaka,Sipahibag(Dhaka),,69,84,99,,
Dhaka,TT Para (Dhaka),,69,84,99,,
Dhaka,Eastern Housing (Mohammadpur),,69,84,99,,
Dhaka,Teskunipara(Farmgate),,69,84,99,,
Dhaka,Tenari More (Dhaka),,69,84,99,,
Dhaka,Shahidnagar (Lalbagh- Dhaka),,69,84,99,,
Dhaka,Jhigatola(Dhanmondi),,69,84,99,,
Dhaka,Polashi(Dhaka),,69,84,99,,
Dhaka,Satmoshjid Road(Dhaka),,69,84,99,,
Dhaka,Shukrabad(Dhanmondi),,69,84,99,,
Dhaka,BNP Bazar(Agargaon),,69,84,99,,
Dhaka,Kalachandpur(Nadda),,69,84,99,,
Dhaka,Jogonnathpur(Nadda),,69,84,99,,
Dhaka,Kuratoli Bazar(Kuril),,69,84,99,,
Dhaka,Alatunnessa School Road (South Badda),,69,84,99,,
Dhaka,Purbo Rampura(Dhaka),,69,84,99,,
Dhaka,Bou Bazar Korail (Mohakhali),,69,84,99,,
Dhaka,Chairman Bari (Banani),,69,84,99,,
Dhaka,Confidence Tower (Shahajadpur),,69,84,99,,
Dhaka,Dhelna (Khilkhet),,69,84,99,,
Dhaka,Madani Avenue(100 Feet Road Natun Bazar),,69,84,99,,
Dhaka,Korail (Mohakhali),,69,84,99,,
Dhaka,Mahanogor(Dhaka),,69,84,99,,
Dhaka,Nimtola (Merul Badda),,69,84,99,,
Dhaka,Boat Ghat Road (Natun Bazar),,69,84,99,,
Dhaka,Pastola Bazar (Merul Badda),,69,84,99,,
Dhaka,Poschim Badda,,69,84,99,,
Dhaka,Purbo Badda,,69,84,99,,
Dhaka,Sat-tola Bazar (Mohakhali),,69,84,99,,
Dhaka,Shaheenbagh (Tejgoan),,69,84,99,,
Dhaka,Suvastu Nazar Valley (Shahjadpur),,69,84,99,,
Dhaka,ICDDRB (Mohakhali),,69,84,99,,
Dhaka,Satrasta (Tejgoan),,69,84,99,,
Dhaka,Shadinota Sharani (Uttor Badda),,69,84,99,,
Dhaka,North Badda,,69,84,99,,
Dhaka,Wireless gate (Mohakhali),,69,84,99,,
Dhaka,Solmaid(Natun Bazar),,69,84,99,,
Dhaka,Pink City Model Town (Kuril ),,69,84,99,,
Dhaka,Mirhazirbagh(Jatrabari),,69,84,99,,
Dhaka,Mahut Tuli (Puran Dhaka),,69,84,99,,
Dhaka,Alubazar (Puran Dhaka),,69,84,99,,
Dhaka,Badam Toli (Babubazar),,69,84,99,,
Dhaka,Chamelibag (Dhaka),,69,84,99,,
Dhaka,Dholaikhal (Puran Dhaka),,69,84,99,,
Dhaka,Doyagonj (Jatrabari),,69,84,99,,
Dhaka,Farashgong (Puran Dhaka),,69,84,99,,
Dhaka,Dholpur(Jatrabari),,69,84,99,,
Dhaka,Kodomtoli(Keraniganj),,69,84,99,,
Dhaka,Kotwali Thana (Puran Dhaka),,69,84,99,,
Dhaka,Railway Colony (Puran Dhaka),,69,84,99,,
Dhaka,Rajar Dewri (Puran Dhaka),,69,84,99,,
Dhaka,Sat rowja (Puran Dhaka),,69,84,99,,
Dhaka,Tantibazar (Puran Dhaka),,69,84,99,,
Dhaka,Rosulbagh(Mohakhali),,69,84,99,,
Dhaka,Gopalpur (Tongi Station Road),,69,84,99,,
Dhaka,Tongi College Gate,,69,84,99,,
Dhaka,Badekomelosshor (Board Bazar),,69,84,99,,
Dhaka,Megh Dubi Tongi ( Mirer Bazar),,69,84,99,,
Dhaka,Mazar Road Uttarkhan,,69,84,99,,
Dhaka,Sonakhola (Dakshinkhan),,69,84,99,,
Dhaka,Hajipara(Dakshinkhan),,69,84,99,,
Dhaka,Ranavola(Uttara),,69,84,99,,
Dhaka,Joynal Market(Dakshinkhan),,69,84,99,,
Dhaka,Haji Camp(Askona),,69,84,99,,
Dhaka,Sarwar Avenue(Dakshinkhan),,69,84,99,,
Dhaka,BDR Market-House Building(Uttara),,69,84,99,,
Dhaka,BDR Market-Sector 6(Uttara),,69,84,99,,
Dhaka,Moinartek(Dakshinkhan),,69,84,99,,
